Weight	Self Weight	Symbol Names
844.83 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
844.83 µs   0.0%	844.83 µs	                     DYLD-STUB$$uuid_compare
815.04 µs   0.0%	815.04 µs	                   _os_log_impl_flatten_and_send
800.63 µs   0.0%	0 s	                   uuid_is_null
800.63 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
800.63 µs   0.0%	800.63 µs	                     uuid_is_null
171.75 µs   0.0%	0 s	                   uuid_copy
171.75 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
171.75 µs   0.0%	171.75 µs	                     uuid_copy
142.12 µs   0.0%	0 s	                   _platform_memset
142.12 µs   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
142.12 µs   0.0%	142.12 µs	                     _platform_memset
67.67 µs   0.0%	0 s	                   uuid_compare
67.67 µs   0.0%	67.67 µs	                    uuid_compare
5.00 ms   0.0%	0 s	                  _platform_memmove
5.00 ms   0.0%	0 s	                   completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                    _platform_memmove
476.75 µs   0.0%	0 s	                 _os_log_impl_flatten_and_send
476.75 µs   0.0%	476.75 µs	                  _os_log_impl_flatten_and_send
82.00 µs   0.0%	82.00 µs	                 _os_signpost_emit_with_name_impl
10.00 ms   0.0%	0 s	                os_signpost_enabled
10.00 ms   0.0%	10.00 ms	                 os_signpost_enabled
205.54 µs   0.0%	205.54 µs	                swift::concurrency::trace::task_status_changed(swift::AsyncTask*, unsigned char, bool, bool, bool, bool, bool)
185.62 µs   0.0%	0 s	                __os_signpost_emit_impl
185.62 µs   0.0%	185.62 µs	                 __os_signpost_emit_impl
5.00 ms   0.0%	0 s	               DYLD-STUB$$os_apt_msg_async_task_running_4swift
5.00 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                 DYLD-STUB$$os_apt_msg_async_task_running_4swift
152.29 µs   0.0%	152.29 µs	               withStatusRecordLock(swift::AsyncTask*, swift::ActiveTaskStatus, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus)>, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus, swift::ActiveTaskStatus&)>)
283.33 µs   0.0%	0 s	              void __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus)>::callback_fn<void withStatusRecordLock<swift_task_hasTaskGroupStatusRecordImpl()::$_0>(swift::AsyncTask*, swift_task_hasTaskGroupStatusRecordImpl()::$_0&&, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus, swift::ActiveTaskStatus&)>)::'lambda'(swift::ActiveTaskStatus)>(long, swift::ActiveTaskStatus)
283.33 µs   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
