Weight	Self Weight	Symbol Names
565.08 µs   0.0%	565.08 µs	                     0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
7.26 ms   0.0%	7.26 ms	                swift_task_alloc
664.62 µs   0.0%	0 s	               swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
664.62 µs   0.0%	630.38 µs	                swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
34.25 µs   0.0%	0 s	                 0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
34.25 µs   0.0%	0 s	                  0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
34.25 µs   0.0%	0 s	                   0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
34.25 µs   0.0%	34.25 µs	                    0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
173.17 µs   0.0%	173.17 µs	               partial apply for closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
19.35 ms   0.0%	0 s	              partial apply for closure #1 in WorkerPool.work()
12.00 ms   0.0%	0 s	               swift_task_dealloc
12.00 ms   0.0%	12.00 ms	                swift_task_dealloc
5.52 ms   0.0%	0 s	               swift_task_getCurrent
5.52 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.52 ms   0.0%	5.52 ms	                 swift_task_getCurrent
1.83 ms   0.0%	1.83 ms	               partial apply for closure #1 in WorkerPool.work()
16.13 ms   0.0%	0 s	              swift_task_dealloc
16.13 ms   0.0%	16.05 ms	               swift_task_dealloc
82.54 µs   0.0%	0 s	                0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
82.54 µs   0.0%	0 s	                 0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
82.54 µs   0.0%	0 s	                  0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
82.54 µs   0.0%	82.54 µs	                   0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.38 ms   0.0%	11.94 ms	              closure #1 in withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
3.44 ms   0.0%	3.44 ms	               closure #1 in withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
11.03 ms   0.0%	0 s	              swift_task_alloc
8.29 ms   0.0%	8.29 ms	               swift_task_alloc
2.74 ms   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
