Weight	Self Weight	Symbol Names
20.07 ms   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
20.07 ms   0.0%	71.12 µs	                          mach_msg2_trap
20.00 ms   0.0%	0 s	                           0xfffffe000885b8d0 (kernel.release.t6031 +0x184f917) <4884B2A4-D648-3989-A74C-9F242960BE5B>
20.00 ms   0.0%	0 s	                            0xfffffe0008a1fa64 (kernel.release.t6031 +0x1a13d2f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
20.00 ms   0.0%	0 s	                             0xfffffe0008a19e44 (kernel.release.t6031 +0x1a0dfc3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
20.00 ms   0.0%	0 s	                              0xfffffe000889b54c (kernel.release.t6031 +0x188f8fb) <4884B2A4-D648-3989-A74C-9F242960BE5B>
20.00 ms   0.0%	0 s	                               0xfffffe000889b18c (kernel.release.t6031 +0x188f2cf) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                0xfffffe00088859f0 (kernel.release.t6031 +0x1879c07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                 0xfffffe0008886618 (kernel.release.t6031 +0x187ab00) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                  0xfffffe0008e0e400 (kernel.release.t6031 +0x1e02513) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                   0xfffffe0008e0de84 (kernel.release.t6031 +0x1e01fab) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                    0xfffffe0008e0dab8 (kernel.release.t6031 +0x1e01bd3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
15.00 ms   0.0%	0 s	                                     0xfffffe0008de3f90 (kernel.release.t6031 +0x1dd8293) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	10.00 ms	                                      0xfffffe00089263ec (kernel.release.t6031 +0x191a4d9) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                      0xfffffe0008ddf8a0 (kernel.release.t6031 +0x1dd3e45) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                       0xfffffe000891b198 (kernel.release.t6031 +0x190f1a9) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                0xfffffe0008881b98 (kernel.release.t6031 +0x18768b7) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	0 s	                                 0xfffffe0008882cc0 (kernel.release.t6031 +0x1876dd7) <4884B2A4-D648-3989-A74C-9F242960BE5B>
5.00 ms   0.0%	5.00 ms	                                  ptrauth_utils_sign_blob_generic (kernel.release.t6031 +0x1851705) <4884B2A4-D648-3989-A74C-9F242960BE5B>
80.04 µs   0.0%	80.04 µs	                     firehose_buffer_ring_enqueue
4.20 ms   0.0%	0 s	                    firehose_buffer_tracepoint_reserve_slow
